CNTYVTD,BabinR_18G_U.S. Rep 36,SteeleD_18G_U.S. Rep 36
"0710001",289,60
"0710002",264,139
"0710003",169,101
"0710004",1814,245
"0710005",1230,184
"0710006",830,264
"0710007",959,191
"0710008",2217,315
"0710009",155,29
"0710010",2064,317
"0710011",935,298
"0710012",527,175
"0710014",197,34
"0710015",684,435
"1990001",579,229
"1990002",2111,286
"1990003",293,15
"1990004",391,37
"1990005",313,15
"1990006",2128,260
"1990007",403,26
"1990008",390,44
"1990009",1045,247
"1990010",1037,486
"1990011",423,59
"1990012",454,68
"1990013",1178,94
"1990014",708,61
"1990015",896,123
"1990016",1062,108
"1990017",599,39
"1990018",2951,352
"1990019",520,61
"2010012",111,145
"2010013",860,484
"2010028",930,803
"2010051",685,265
"2010063",758,220
"2010084",481,213
"2010088",293,145
"2010090",1724,804
"2010091",483,449
"2010092",960,668
"2010097",1906,723
"2010099",316,476
"2010100",264,334
"2010102",151,484
"2010103",1215,1597
"2010141",140,146
"2010174",1346,954
"2010220",530,317
"2010248",141,507
"2010249",774,467
"2010250",19,341
"2010251",100,891
"2010290",626,261
"2010306",836,498
"2010307",1228,813
"2010333",1360,711
"2010346",0,0
"2010347",976,852
"2010348",639,353
"2010352",1493,710
"2010377",1255,497
"2010381",528,979
"2010382",307,224
"2010386",1233,580
"2010387",1364,693
"2010391",631,589
"2010414",1213,502
"2010415",958,590
"2010420",2392,586
"2010456",804,763
"2010470",468,195
"2010471",981,312
"2010473",748,458
"2010502",1120,282
"2010531",966,340
"2010532",340,195
"2010533",190,216
"2010534",1447,699
"2010561",817,570
"2010568",1304,1032
"2010662",1948,591
"2010665",1175,350
"2010673",1370,398
"2010679",1300,711
"2010682",1645,746
"2010692",1125,570
"2010695",422,345
"2010696",523,389
"2010699",888,643
"2010703",837,425
"2010704",1513,386
"2010716",888,447
"2010718",1790,1275
"2010719",332,366
"2010721",1044,796
"2010724",344,247
"2010739",473,636
"2010740",172,163
"2010745",808,703
"2010746",132,212
"2010748",275,389
"2010752",477,269
"2010793",560,569
"2010872",6,7
"2010908",0,2
"2010920",25,23
"2010925",0,0
"2010941",147,229
"2010950A",0,0
"2010950B",0,0
"2010954",0,0
"2010963",125,209
"2010965",85,28
"2010972",0,0
"2010976",123,155
"2010988",57,9
"2011008",508,158
"2410001",25,8
"2410002",384,31
"2410003",482,89
"2410004",365,58
"2410005",82,14
"2410006",409,177
"2410007",204,139
"2410008",261,197
"2410009",925,105
"2410010",810,85
"2410011",252,23
"2410012",259,53
"2410013",225,56
"2410014",1007,213
"2410015",1230,133
"2410016",129,6
"2410017",692,50
"2410019",1018,215
"2410020",277,296
"2410021",536,265
"2910001",274,45
"2910002",462,63
"2910003",1061,103
"2910004",243,50
"2910005",920,201
"2910006",430,48
"2910007",551,255
"2910008",933,114
"2910009",1113,129
"2910010",1163,316
"2910011",217,185
"2910012",480,158
"2910013",248,23
"2910014",204,42
"2910015",169,55
"2910016",190,23
"2910017",241,26
"2910018",149,391
"2910019",620,241
"2910020",19,354
"2910021",1503,188
"2910022",1197,391
"2910023",602,231
"2910024",320,55
"2910025",428,49
"2910026",821,197
"2910027",142,21
"2910028",313,30
"2910029",524,79
"2910030",572,238
"3510001",410,84
"3510002",142,23
"3510003",330,26
"3510004",81,20
"3510005",259,24
"3510006",213,177
"3510007",87,35
"3510008A",108,41
"3510008B",31,10
"3510009",103,41
"3510010",180,22
"3510011",304,27
"3510012",79,12
"3510013",398,42
"3510014",76,103
"3510015",184,34
"3510016",146,23
"3510017",14,34
"3510018",135,7
"3510019",121,12
"3510020",19,80
"3510021",150,16
"3510022",84,103
"3610001",110,24
"3610002",191,300
"3610003",86,406
"3610004",5,155
"3610005",398,351
"3610006",773,149
"3610007",622,221
"3610008",1022,188
"3610009",846,152
"3610010",293,71
"3610011",178,70
"3610012",425,129
"3610013",388,211
"3610014",565,251
"3610015",741,169
"3610016",1159,120
"3610017",784,93
"3610018",843,120
"3610019",663,110
"3610020",560,78
"3610021",110,21
"3610022",562,61
"3610023",1202,149
"3610024",664,82
"3610025",703,114
"3610026",921,160
"3610027",921,125
"3610028",1471,180
"3610029",463,63
"3610030",445,63
"3610031",1087,152
"3610032",911,91
"3610033",622,90
"3610034",639,88
"3730001",171,19
"3730002",222,28
"3730003",614,173
"3730004",594,142
"3730005",1025,290
"3730006",1928,375
"3730007",252,98
"3730008",317,132
"3730009",286,70
"3730010",669,299
"3730011",143,43
"3730012",98,31
"3730013",197,20
"3730014",332,47
"3730015",444,58
"3730016",1750,302
"3730017",519,83
"3730018",94,174
"3730019",1402,621
"3730020",1392,631
"3730021",490,132
"4570001",338,63
"4570002",293,162
"4570003",630,171
"4570004",565,81
"4570005",69,37
"4570006",246,27
"4570007",339,24
"4570008",112,11
"4570009",215,23
"4570010",645,75
"4570011",58,1
"4570013",264,41
"4570014",793,73
"4570015",450,52
"4570016",260,31
"4570017",167,67
"4570018",614,108
