CNTYVTD,HuffmanR_18G_State Sen 17,LucidoD_18G_State Sen 17,LaCountL_18G_State Sen 17
"0390002",1556,489,27
"0390004",1299,361,35
"0390007",292,554,12
"0390008",440,111,10
"0390010",444,68,5
"0390014",2046,611,36
"0390017",467,520,31
"0390019",350,412,23
"0390020",655,145,14
"0390022",1816,474,59
"0390023",1477,587,56
"0390024",1739,573,72
"0390030",1489,288,43
"0390031",518,95,11
"0390032",1132,255,22
"0390033",743,324,17
"0390043",1541,601,62
"0390045",1379,495,51
"0390048",848,451,22
"0390049",774,116,14
"1571007",1838,2103,87
"1571018",874,183,17
"1571021",422,52,6
"1571025",1140,811,38
"1571058",114,301,9
"1571068",241,24,5
"1571087",828,426,17
"1571097",1632,1339,68
"1571109",282,250,8
"1571118",2010,1472,79
"1571120",1383,641,45
"1571128",1518,660,27
"1571152",545,327,8
"1571154",656,816,30
"1572016",849,1166,31
"1572022",1129,877,63
"1572043",98,309,1
"1572061",1192,1401,43
"1572092",184,312,9
"1572099",579,1251,25
"1572100",389,906,19
"1572151",505,954,28
"1572157",781,1040,37
"1573009",1481,595,31
"1573032",416,978,26
"1573053",0,0,0
"1573069",149,127,9
"1573098",467,833,26
"1574011",599,408,14
"1574020",1283,630,40
"1574027",0,0,0
"1574028",732,753,28
"1574029",873,370,24
"1574030",1011,776,30
"1574035",474,539,19
"1574042",482,187,8
"1574044",945,1305,36
"1574046",924,986,31
"1574047",250,270,4
"1574049",671,1369,33
"1574062",983,1279,33
"1574064",353,283,12
"1574065",1303,1641,57
"1574079",131,123,6
"1574080",360,421,10
"1574084",528,450,13
"1574086",372,874,16
"1574102",562,865,14
"1574105",546,540,11
"1574107",875,474,15
"1574110",757,723,29
"1574111",426,373,20
"1574119",1349,737,29
"1574121",169,232,9
"1574127",760,975,34
"1574129",1771,1932,43
"1574131",673,490,23
"1574140",1116,839,40
"2010008",448,614,21
"2010014",585,687,24
"2010015",1179,1001,29
"2010017",261,416,11
"2010018",463,548,21
"2010087",1223,817,30
"2010089",471,348,12
"2010095",1125,697,39
"2010116",1656,624,19
"2010128",933,680,28
"2010129",1718,1513,56
"2010130",1085,472,20
"2010133",1047,953,27
"2010135",1296,856,36
"2010139",1005,1466,52
"2010146",510,858,26
"2010148",659,1180,25
"2010175",884,908,18
"2010176",424,441,10
"2010177",552,628,28
"2010178",846,496,28
"2010182",1352,1348,44
"2010183",1128,703,23
"2010214",718,584,18
"2010215",880,774,33
"2010217",1218,812,30
"2010224",662,967,28
"2010227",930,364,19
"2010232",669,627,17
"2010233",1306,2041,71
"2010234",2099,856,28
"2010255",646,926,32
"2010268",926,751,29
"2010269",1156,408,11
"2010272",316,761,27
"2010274",862,568,32
"2010281",705,819,21
"2010282",667,607,17
"2010291",284,410,16
"2010293",416,722,27
"2010298",586,673,33
"2010303",1788,602,26
"2010304",820,677,28
"2010312",992,995,32
"2010315",588,459,21
"2010316",529,469,16
"2010317",146,456,5
"2010350",574,1243,43
"2010356",945,894,41
"2010360",945,1412,38
"2010362",2007,1040,59
"2010395",780,448,39
"2010400",1006,607,29
"2010403",604,585,16
"2010428",637,1516,24
"2010434",543,509,18
"2010435",1310,913,40
"2010436",1310,1197,65
"2010437",908,506,25
"2010438",1621,782,42
"2010443",329,134,6
"2010461",1634,1068,48
"2010472",281,473,13
"2010483",1193,1381,61
"2010488",328,845,14
"2010491",620,661,32
"2010492",638,606,26
"2010504",947,601,39
"2010509",1640,1143,64
"2010510",794,1254,60
"2010522",1270,530,39
"2010524",479,1283,25
"2010547",909,507,29
"2010558",625,1583,33
"2010569",1065,1470,47
"2010570",247,678,21
"2010572",652,1081,33
"2010589",756,1069,33
"2010600",643,1436,21
"2010603",1332,1289,42
"2010618",704,1204,38
"2010619",2119,1007,75
"2010625",585,574,20
"2010626",1335,1322,64
"2010644",1275,1161,43
"2010645",864,1675,51
"2010646",306,822,12
"2010647",490,1140,12
"2010649",525,1545,26
"2010685",54,46,2
"2010711",1112,1306,27
"2010720",1699,1009,67
"2010727",290,857,21
"2010730",938,616,28
"2010731A",576,956,19
"2010731B",282,464,8
"2010751",2021,1571,66
"2010761",798,349,19
"2010765",664,1752,37
"2010772",2086,887,56
"2010773",585,1480,16
"2010785",874,1070,35
"2010804",1509,1735,53
"2010814",426,1833,19
"2010819",47,41,1
"2010826",107,134,3
"2010839",91,377,7
"2010879",532,840,21
"2010891",341,501,11
"2010899",460,371,10
"2010906",12,8,0
"2010931",40,39,3
"2010932",0,0,0
"2010933",88,284,13
"2010942",75,41,6
"2010944",0,1,0
"2010952",27,21,1
"2010956",0,0,0
"2010974",0,0,0
"2010984",10,85,2
"2011006",0,0,0
